node,property,value
aida-item:WEA.Club,aida-property:hasName,"en:""aida-item:WEA.Club"""
aida-item:PersonalSocial.Role.TitleFormOfAddress,aida-property:hasName,"en:""aida-item:PersonalSocial.Role.TitleFormOfAddress"""
aida-item:Contact.Discussion,aida-property:hasName,"en:""aida-item:Contact.Discussion"""
aida-item:Contact.MediaStatement.Broadcast,aida-property:hasName,"en:""aida-item:Contact.MediaStatement.Broadcast"""
aida-item:COM.Equipment.HumanitarianAid,aida-property:hasName,"en:""aida-item:COM.Equipment.HumanitarianAid"""
aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft,aida-property:hasName,"en:""aida-item:VEH.MilitaryVehicle.MilitaryTransportAircraft"""
aida-item:WEA.DaggerKnifeSword.Hatchet,aida-property:hasName,"en:""aida-item:WEA.DaggerKnifeSword.Hatchet"""
aida-item:Conflict.Yield.Retreat,aida-property:hasName,"en:""aida-item:Conflict.Yield.Retreat"""
aida-item:Government.Vote.ViolationsPreventVote,aida-property:hasName,"en:""aida-item:Government.Vote.ViolationsPreventVote"""
aida-item:PER.Fan,aida-property:hasName,"en:""aida-item:PER.Fan"""
aida-item:Conflict.Attack.FirearmAttack,aida-property:hasName,"en:""aida-item:Conflict.Attack.FirearmAttack"""
aida-item:Movement.TransportArtifact.SmuggleExtract,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.SmuggleExtract"""
aida-property:Measurement.Size.HeightLengthWidth_Measurement,aida-property:hasName,"en:""aida-property:Measurement.Size.HeightLengthWidth_Measurement"""
aida-entity:9789ff8a-7d0a-45cc-9b2a-9a7465182d09,aida-property:hasName,"en:""Malaysia Airlines"""
aida-item:PER.ProfessionalPosition.Ambassador,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Ambassador"""
aida-item:LAW.Referendum.Referendum,aida-property:hasName,"en:""aida-item:LAW.Referendum.Referendum"""
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:hasName,"en:""Ukraine"""
aida-item:Justice.InitiateJudicialProcess,aida-property:hasName,"en:""aida-item:Justice.InitiateJudicialProcess"""
aida-item:MON.Assets.Assets,aida-property:hasName,"en:""aida-item:MON.Assets.Assets"""
aida-item:Measurement.Size.Weight,aida-property:hasName,"en:""aida-item:Measurement.Size.Weight"""
aida-item:Contact.ThreatenCoerce,aida-property:hasName,"en:""aida-item:Contact.ThreatenCoerce"""
aida-item:VEH.Watercraft,aida-property:hasName,"en:""aida-item:VEH.Watercraft"""
aida-item:SID.Ideological.Ideological,aida-property:hasName,"en:""aida-item:SID.Ideological.Ideological"""
aida-property:OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Employment_PlaceOfEmployment"""
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality,aida-property:hasName,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Nationality"""
aida-item:Movement.TransportPerson.SmuggleExtract,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.SmuggleExtract"""
aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship.AdvisePlanOrganize_Sponsor"""
aida-item:Movement.TransportArtifact.Fall,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.Fall"""
aida-item:Government.Vote.CastVote,aida-property:hasName,"en:""aida-item:Government.Vote.CastVote"""
aida-item:LOC.Position.Neighborhood,aida-property:hasName,"en:""aida-item:LOC.Position.Neighborhood"""
aida-item:FAC.Building.ApartmentBuilding,aida-property:hasName,"en:""aida-item:FAC.Building.ApartmentBuilding"""
aida-item:Contact.RequestAdvise.Correspondence,aida-property:hasName,"en:""aida-item:Contact.RequestAdvise.Correspondence"""
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation,aida-property:hasName,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation"""
aida-item:WEA.Gun,aida-property:hasName,"en:""aida-item:WEA.Gun"""
aida-item:WEA.Gun.Firearm,aida-property:hasName,"en:""aida-item:WEA.Gun.Firearm"""
aida-item:GeneralAffiliation.MemberOriginReligionEthnicity,aida-property:hasName,"en:""aida-item:GeneralAffiliation.MemberOriginReligionEthnicity"""
aida-item:LOC.Position.CrimeScene,aida-property:hasName,"en:""aida-item:LOC.Position.CrimeScene"""
aida-entity:de116796-d44b-4a1a-8491-4dcced8e8a9f,aida-property:linkTarget,LDC2019E43:708230
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,aida-property:hasName,"en:""President"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_EntityOrFiller,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation_EntityOrFiller"""
aida-item:GPE.OrganizationOfCountries.OrganizationOfCountries,aida-property:hasName,"en:""aida-item:GPE.OrganizationOfCountries.OrganizationOfCountries"""
aida-item:ORG.CommercialOrganization.Corporation,aida-property:hasName,"en:""aida-item:ORG.CommercialOrganization.Corporation"""
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality,aida-property:hasName,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Nationality"""
aida-item:Transaction.TransferMoney.BorrowLend,aida-property:hasName,"en:""aida-item:Transaction.TransferMoney.BorrowLend"""
aida-item:CRM.PoliticalCrime.PoliceMisconduct,aida-property:hasName,"en:""aida-item:CRM.PoliticalCrime.PoliceMisconduct"""
aida-item:Contact.Negotiate,aida-property:hasName,"en:""aida-item:Contact.Negotiate"""
aida-property:Evaluate.Sentiment.Positive_SentimentTarget,aida-property:hasName,"en:""aida-property:Evaluate.Sentiment.Positive_SentimentTarget"""
aida-item:ORG.Government.Agency,aida-property:hasName,"en:""aida-item:ORG.Government.Agency"""
aida-item:Movement.TransportArtifact.GrantEntry,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.GrantEntry"""
aida-property:Information.Make.Make_EntityOrFiller,aida-property:hasName,"en:""aida-property:Information.Make.Make_EntityOrFiller"""
aida-entity:d48106d9-91c7-4d10-a4dc-7d82d735a925,aida-property:linkTarget,LDC2019E43:703447
aida-item:Conflict.Attack.SetFire,aida-property:hasName,"en:""aida-item:Conflict.Attack.SetFire"""
aida-entity:5aa209ed-0b29-42c9-99f6-bb7f451b418e,aida-property:linkTarget,LDC2019E43:4321187
aida-item:LAW,aida-property:hasName,"en:""aida-item:LAW"""
aida-entity:d48106d9-91c7-4d10-a4dc-7d82d735a925,aida-property:hasName,"en:""Kyiv"""
aida-item:Government.Formation.MergeGPE,aida-property:hasName,"en:""aida-item:Government.Formation.MergeGPE"""
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen,aida-property:hasName,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity.NationalityCitizen_Citizen"""
aida-item:PER.Combatant,aida-property:hasName,"en:""aida-item:PER.Combatant"""
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller,aida-property:hasName,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_EntityOrFiller"""
aida-item:WEA.GrenadeLauncher.GrenadeLauncher,aida-property:hasName,"en:""aida-item:WEA.GrenadeLauncher.GrenadeLauncher"""
aida-item:Personnel.StartPosition.Hiring,aida-property:hasName,"en:""aida-item:Personnel.StartPosition.Hiring"""
aida-property:PartWhole.Subsidiary.NationalityCitizen_Subsidiary,aida-property:hasName,"en:""aida-property:PartWhole.Subsidiary.NationalityCitizen_Subsidiary"""
aida-item:COM.Equipment.MilitaryEquipment,aida-property:hasName,"en:""aida-item:COM.Equipment.MilitaryEquipment"""
aida-entity:1adf20cf-9ade-467e-82a3-f4583a7b5c19,aida-property:linkTarget,LDC2019E43:5330810
aida-item:PartWhole.Subsidiary,aida-property:hasName,"en:""aida-item:PartWhole.Subsidiary"""
aida-item:Contact.PublicStatementInPerson,aida-property:hasName,"en:""aida-item:Contact.PublicStatementInPerson"""
aida-item:Movement.TransportPerson.PreventExit,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.PreventExit"""
aida-property:Information.Color.Color_Color,aida-property:hasName,"en:""aida-property:Information.Color.Color_Color"""
aida-entity:42fe32a7-57a6-499e-9043-d45cf4522f76,aida-property:hasName,"en:""the National Guard"""
aida-item:OrganizationAffiliation.Leadership.HeadOfState,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.Leadership.HeadOfState"""
aida-item:SID,aida-property:hasName,"en:""aida-item:SID"""
aida-item:FAC.Building.School,aida-property:hasName,"en:""aida-item:FAC.Building.School"""
aida-property:Physical.Resident.Resident_Resident,aida-property:hasName,"en:""aida-property:Physical.Resident.Resident_Resident"""
aida-item:Conflict.Attack.Hanging,aida-property:hasName,"en:""aida-item:Conflict.Attack.Hanging"""
aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29,aida-property:hasName,"en:""Poroshenko"""
aida-item:PER.Protester,aida-property:hasName,"en:""aida-item:PER.Protester"""
aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_Person,aida-property:hasName,"en:""aida-property:GeneralAffiliation.MemberOriginReligionEthnicity_Person"""
aida-item:PER.MilitaryPersonnel.MilitaryOfficer,aida-property:hasName,"en:""aida-item:PER.MilitaryPersonnel.MilitaryOfficer"""
aida-property:Evaluate.Sentiment.Negative_Holder,aida-property:hasName,"en:""aida-property:Evaluate.Sentiment.Negative_Holder"""
aida-item:FAC.Way,aida-property:hasName,"en:""aida-item:FAC.Way"""
aida-item:WEA.Gas,aida-property:hasName,"en:""aida-item:WEA.Gas"""
aida-item:Conflict.Attack.Stabbing,aida-property:hasName,"en:""aida-item:Conflict.Attack.Stabbing"""
aida-item:ORG.Government.Council,aida-property:hasName,"en:""aida-item:ORG.Government.Council"""
aida-item:Contact.ThreatenCoerce.Broadcast,aida-property:hasName,"en:""aida-item:Contact.ThreatenCoerce.Broadcast"""
aida-item:Conflict.Attack.StealRobHijack,aida-property:hasName,"en:""aida-item:Conflict.Attack.StealRobHijack"""
aida-property:Evaluate.Legitimacy.Illegitimate_Event,aida-property:hasName,"en:""aida-property:Evaluate.Legitimacy.Illegitimate_Event"""
aida-entity:ba5bd100-3c53-45bb-8c1e-81d7827e948d,aida-property:linkTarget,LDC2019E43:10922499
aida-item:Transaction.TransferMoney.PayForService,aida-property:hasName,"en:""aida-item:Transaction.TransferMoney.PayForService"""
aida-item:PER.Combatant.Mercenary,aida-property:hasName,"en:""aida-item:PER.Combatant.Mercenary"""
aida-property:Evaluate.Legitimacy.Legitimate_Event,aida-property:hasName,"en:""aida-property:Evaluate.Legitimacy.Legitimate_Event"""
aida-item:SID.Cultural.Cultural,aida-property:hasName,"en:""aida-item:SID.Cultural.Cultural"""
aida-property:GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship.Affiliated_ActorOrEvent"""
aida-item:COM.Equipment.MedicalEquipment,aida-property:hasName,"en:""aida-item:COM.Equipment.MedicalEquipment"""
aida-item:Movement.TransportArtifact.Hide,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.Hide"""
aida-item:ORG.MilitaryOrganization.Intelligence,aida-property:hasName,"en:""aida-item:ORG.MilitaryOrganization.Intelligence"""
aida-item:Government.Agreements.RejectNullifyAgreementContractCeasefire,aida-property:hasName,"en:""aida-item:Government.Agreements.RejectNullifyAgreementContractCeasefire"""
aida-item:ORG.Government.Railway,aida-property:hasName,"en:""aida-item:ORG.Government.Railway"""
aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen,aida-property:hasName,"en:""aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen"""
aida-item:LOC.Position,aida-property:hasName,"en:""aida-item:LOC.Position"""
aida-property:PersonalSocial.Role_Role,aida-property:hasName,"en:""aida-property:PersonalSocial.Role_Role"""
aida-item:WEA.DaggerKnifeSword,aida-property:hasName,"en:""aida-item:WEA.DaggerKnifeSword"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Controller,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.ControlTerritory_Controller"""
aida-item:COM.Equipment.Satellite,aida-property:hasName,"en:""aida-item:COM.Equipment.Satellite"""
aida-item:Movement.TransportArtifact.NonviolentThrowLaunch,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.NonviolentThrowLaunch"""
aida-item:LOC.Position.Region,aida-property:hasName,"en:""aida-item:LOC.Position.Region"""
aida-item:WEA.Club.Bat,aida-property:hasName,"en:""aida-item:WEA.Club.Bat"""
aida-property:Evaluate.Deliberateness.Deliberate_Event,aida-property:hasName,"en:""aida-property:Evaluate.Deliberateness.Deliberate_Event"""
aida-item:ORG,aida-property:hasName,"en:""aida-item:ORG"""
aida-item:VEH.Watercraft.Boat,aida-property:hasName,"en:""aida-item:VEH.Watercraft.Boat"""
aida-item:Manufacture.Artifact.Build,aida-property:hasName,"en:""aida-item:Manufacture.Artifact.Build"""
aida-item:Life.Injure.IllnessDegradationHungerThirst,aida-property:hasName,"en:""aida-item:Life.Injure.IllnessDegradationHungerThirst"""
aida-property-type:MonolingualText,aida-property:hasName,"en:""aida-property-type:MonolingualText"""
aida-item:ORG.Association,aida-property:hasName,"en:""aida-item:ORG.Association"""
aida-item:VEH,aida-property:hasName,"en:""aida-item:VEH"""
aida-item:Movement.TransportPerson.DisperseSeparate,aida-property:hasName,"en:""aida-item:Movement.TransportPerson.DisperseSeparate"""
aida-item:Life.Injure,aida-property:hasName,"en:""aida-item:Life.Injure"""
aida-property:OrganizationAffiliation.EmploymentMembership_EmployeeMember,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.EmploymentMembership_EmployeeMember"""
aida-property:Measurement.Size.Percentage_EntityOrFiller,aida-property:hasName,"en:""aida-property:Measurement.Size.Percentage_EntityOrFiller"""
aida-item:VAL,aida-property:hasName,"en:""aida-item:VAL"""
aida-item:Transaction.TransferOwnership.BorrowLend,aida-property:hasName,"en:""aida-item:Transaction.TransferOwnership.BorrowLend"""
aida-item:PartWhole.Subsidiary.OrganizationSubsidiary,aida-property:hasName,"en:""aida-item:PartWhole.Subsidiary.OrganizationSubsidiary"""
aida-item:Physical.LocatedNear,aida-property:hasName,"en:""aida-item:Physical.LocatedNear"""
aida-entity:cab521fd-369e-40e9-ba8d-a97cc7c723b9,aida-property:hasName,"en:""Vladimir Putin"""
aida-item:CRM.FinancialCrime.Fraud,aida-property:hasName,"en:""aida-item:CRM.FinancialCrime.Fraud"""
aida-item:Conflict.Demonstrate.MarchProtestPoliticalGathering,aida-property:hasName,"en:""aida-item:Conflict.Demonstrate.MarchProtestPoliticalGathering"""
aida-item:WEA.Bomb.Grenade,aida-property:hasName,"en:""aida-item:WEA.Bomb.Grenade"""
aida-item:ArtifactExistence.DamageDestroy.Damage,aida-property:hasName,"en:""aida-item:ArtifactExistence.DamageDestroy.Damage"""
aida-item:VEH.WheeledVehicle.Train,aida-property:hasName,"en:""aida-item:VEH.WheeledVehicle.Train"""
aida-item:Movement.TransportArtifact.BringCarryUnload,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.BringCarryUnload"""
aida-item:CRM.BehaviorCrime.FailToAssist,aida-property:hasName,"en:""aida-item:CRM.BehaviorCrime.FailToAssist"""
aida-item:Conflict.Yield,aida-property:hasName,"en:""aida-item:Conflict.Yield"""
aida-item:CRM.FinancialCrime.Forgery,aida-property:hasName,"en:""aida-item:CRM.FinancialCrime.Forgery"""
aida-item:FAC.Installation,aida-property:hasName,"en:""aida-item:FAC.Installation"""
aida-item:Contact.Prevarication.Meet,aida-property:hasName,"en:""aida-item:Contact.Prevarication.Meet"""
aida-entity:f4cfc546-ff27-4df0-b19b-71dbdbc93a29,aida-property:hasName,"en:""Petro Poroshenko"""
aida-property:Evaluate.Sentiment.Negative_SentimentTarget,aida-property:hasName,"en:""aida-property:Evaluate.Sentiment.Negative_SentimentTarget"""
aida-item:OrganizationAffiliation.EmploymentMembership,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.EmploymentMembership"""
aida-property:OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.EmploymentMembership_PlaceOfEmploymentMembership"""
aida-item:Contact.CommandOrder,aida-property:hasName,"en:""aida-item:Contact.CommandOrder"""
aida-entity:5aa209ed-0b29-42c9-99f6-bb7f451b418e,aida-property:linkTarget,LDC2019E43:703883
aida-item:ORG.Association.Team,aida-property:hasName,"en:""aida-item:ORG.Association.Team"""
aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible,aida-property:hasName,"en:""aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_EntityResponsible"""
aida-item:Conflict.Attack.BiologicalChemicalPoisonAttack,aida-property:hasName,"en:""aida-item:Conflict.Attack.BiologicalChemicalPoisonAttack"""
aida-item:CRM.FinancialCrime,aida-property:hasName,"en:""aida-item:CRM.FinancialCrime"""
aida-entity:1adf20cf-9ade-467e-82a3-f4583a7b5c19,aida-property:hasName,"en:""Brisbane"""
aida-property:Evaluate.Legitimacy.Illegitimate_Holder,aida-property:hasName,"en:""aida-property:Evaluate.Legitimacy.Illegitimate_Holder"""
aida-item:WEA.Gas.PoisonGas,aida-property:hasName,"en:""aida-item:WEA.Gas.PoisonGas"""
aida-property-type:URL,aida-property:hasName,"en:""aida-property-type:URL"""
aida-item:Transaction.TransferMoney,aida-property:hasName,"en:""aida-item:Transaction.TransferMoney"""
aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_Event,aida-property:hasName,"en:""aida-property:ResponsibilityBlame.ClaimResponsibility.ClaimResponsibility_Event"""
aida-item:ORG.Government.LegislativeBody,aida-property:hasName,"en:""aida-item:ORG.Government.LegislativeBody"""
aida-property:PersonalSocial.Unspecified_Person,aida-property:hasName,"en:""aida-property:PersonalSocial.Unspecified_Person"""
aida-property:OrganizationAffiliation.EmploymentMembership.Membership_PlaceOfMembership,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Membership_PlaceOfMembership"""
aida-item:LOC.GeographicPoint.Address,aida-property:hasName,"en:""aida-item:LOC.GeographicPoint.Address"""
aida-property:PersonalSocial.Role.ProfessionalRole_Person,aida-property:hasName,"en:""aida-property:PersonalSocial.Role.ProfessionalRole_Person"""
aida-item:COM.Document.PersonalIdentification,aida-property:hasName,"en:""aida-item:COM.Document.PersonalIdentification"""
aida-item:Contact.Collaborate,aida-property:hasName,"en:""aida-item:Contact.Collaborate"""
aida-item:GPE.ProvinceState.ProvinceState,aida-property:hasName,"en:""aida-item:GPE.ProvinceState.ProvinceState"""
aida-item:Conflict.Demonstrate,aida-property:hasName,"en:""aida-item:Conflict.Demonstrate"""
aida-property:GeneralAffiliation.Sponsorship.Affiliated_Sponsor,aida-property:hasName,"en:""aida-property:GeneralAffiliation.Sponsorship.Affiliated_Sponsor"""
aida-property-type:dataType,aida-property:hasName,"en:""aida-property-type:dataType"""
aida-item:Conflict.Attack.SelfDirectedBattle,aida-property:hasName,"en:""aida-item:Conflict.Attack.SelfDirectedBattle"""
aida-item:FAC,aida-property:hasName,"en:""aida-item:FAC"""
aida-item:OrganizationAffiliation.Leadership.MilitaryPolice,aida-property:hasName,"en:""aida-item:OrganizationAffiliation.Leadership.MilitaryPolice"""
aida-item:Inspection.SensoryObserve,aida-property:hasName,"en:""aida-item:Inspection.SensoryObserve"""
aida-item:CRM.ViolentCrime,aida-property:hasName,"en:""aida-item:CRM.ViolentCrime"""
aida-item:CRM.BehaviorCrime.OrganizedCrime,aida-property:hasName,"en:""aida-item:CRM.BehaviorCrime.OrganizedCrime"""
aida-item:ORG.International.MonitoringGroup,aida-property:hasName,"en:""aida-item:ORG.International.MonitoringGroup"""
aida-item:VAL.Number.Number,aida-property:hasName,"en:""aida-item:VAL.Number.Number"""
aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession,aida-property:hasName,"en:""aida-item:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.OwnershipPossession"""
aida-item:Justice.JudicialConsequences.Execute,aida-property:hasName,"en:""aida-item:Justice.JudicialConsequences.Execute"""
aida-item:Contact.RequestAdvise,aida-property:hasName,"en:""aida-item:Contact.RequestAdvise"""
aida-item:COM.Flag.Flag,aida-property:hasName,"en:""aida-item:COM.Flag.Flag"""
aida-entity:4fba8ada-3361-459c-a37f-a0ccc4624ac5,aida-property:linkTarget,LDC2019E43:5134662
aida-item:VEH.WheeledVehicle.Truck,aida-property:hasName,"en:""aida-item:VEH.WheeledVehicle.Truck"""
aida-entity:11d2d098-804e-4379-afa0-7475a6a9986f,aida-property:hasName,"en:""MH17"""
aida-item:VEH.Aircraft,aida-property:hasName,"en:""aida-item:VEH.Aircraft"""
aida-item:WEA.Bullets.Ammunition,aida-property:hasName,"en:""aida-item:WEA.Bullets.Ammunition"""
aida-item:CRM.FinancialCrime.Extortion,aida-property:hasName,"en:""aida-item:CRM.FinancialCrime.Extortion"""
aida-item:Contact.Prevarication.Correspondence,aida-property:hasName,"en:""aida-item:Contact.Prevarication.Correspondence"""
aida-item:PER.MilitaryPersonnel,aida-property:hasName,"en:""aida-item:PER.MilitaryPersonnel"""
aida-item:FAC.Building.VotingFacility,aida-property:hasName,"en:""aida-item:FAC.Building.VotingFacility"""
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization,aida-property:hasName,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation.NationalityCitizen_Organization"""
aida-item:Justice.JudicialConsequences,aida-property:hasName,"en:""aida-item:Justice.JudicialConsequences"""
aida-item:BAL,aida-property:hasName,"en:""aida-item:BAL"""
aida-item:LOC.Land,aida-property:hasName,"en:""aida-item:LOC.Land"""
aida-item:PER.Combatant.Sniper,aida-property:hasName,"en:""aida-item:PER.Combatant.Sniper"""
aida-item:WEA.Bomb,aida-property:hasName,"en:""aida-item:WEA.Bomb"""
aida-item:PER.ProfessionalPosition.Journalist,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Journalist"""
aida-item:Personnel.Elect.WinElection,aida-property:hasName,"en:""aida-item:Personnel.Elect.WinElection"""
aida-item:FAC.Way.Street,aida-property:hasName,"en:""aida-item:FAC.Way.Street"""
aida-item:Personnel.EndPosition.QuitRetire,aida-property:hasName,"en:""aida-item:Personnel.EndPosition.QuitRetire"""
aida-entity:e8d98762-d520-49ed-8de4-5b208d2e3fc9,aida-property:hasName,"en:""Ukrainian"""
aida-item:COM,aida-property:hasName,"en:""aida-item:COM"""
aida-item:Contact.FuneralVigil,aida-property:hasName,"en:""aida-item:Contact.FuneralVigil"""
aida-property:OrganizationAffiliation.EmploymentMembership.Employment_Employee,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Employment_Employee"""
aida-property-type:Value,aida-property:hasName,"en:""aida-property-type:Value"""
aida-property:Physical.LocatedNear_Place,aida-property:hasName,"en:""aida-property:Physical.LocatedNear_Place"""
aida-item:Transaction.TransferMoney.Purchase,aida-property:hasName,"en:""aida-item:Transaction.TransferMoney.Purchase"""
aida-item:PersonalSocial.Unspecified,aida-property:hasName,"en:""aida-item:PersonalSocial.Unspecified"""
aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation,aida-property:hasName,"en:""aida-item:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation"""
aida-item:Conflict.Attack.Strangling,aida-property:hasName,"en:""aida-item:Conflict.Attack.Strangling"""
aida-item:Movement.TransportArtifact.DisperseSeparate,aida-property:hasName,"en:""aida-item:Movement.TransportArtifact.DisperseSeparate"""
aida-item:Transaction.Transaction.EmbargoSanction,aida-property:hasName,"en:""aida-item:Transaction.Transaction.EmbargoSanction"""
aida-property:PartWhole.Subsidiary.NationalityCitizen_Parent,aida-property:hasName,"en:""aida-property:PartWhole.Subsidiary.NationalityCitizen_Parent"""
aida-item:Life.Injure.IllnessDegradationPhysical,aida-property:hasName,"en:""aida-item:Life.Injure.IllnessDegradationPhysical"""
aida-item:FAC.Structure.Plaza,aida-property:hasName,"en:""aida-item:FAC.Structure.Plaza"""
aida-item:PER,aida-property:hasName,"en:""aida-item:PER"""
aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Place,aida-property:hasName,"en:""aida-property:Physical.OrganizationHeadquarters.OrganizationHeadquarters_Place"""
aida-item:Government.Formation,aida-property:hasName,"en:""aida-item:Government.Formation"""
aida-item:VEH.MilitaryVehicle.Tank,aida-property:hasName,"en:""aida-item:VEH.MilitaryVehicle.Tank"""
aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Organization,aida-property:hasName,"en:""aida-property:GeneralAffiliation.OrganizationWebsite.OrganizationWebsite_Organization"""
aida-item:PER.Police.ChiefOfPolice,aida-property:hasName,"en:""aida-item:PER.Police.ChiefOfPolice"""
aida-item:Contact.PublicStatementInPerson.Broadcast,aida-property:hasName,"en:""aida-item:Contact.PublicStatementInPerson.Broadcast"""
aida-item:VEH.MilitaryVehicle,aida-property:hasName,"en:""aida-item:VEH.MilitaryVehicle"""
aida-property:OrganizationAffiliation.Leadership.HeadOfState_Leader,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.Leadership.HeadOfState_Leader"""
aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Nationality,aida-property:hasName,"en:""aida-property:GeneralAffiliation.ArtifactPoliticalOrganizationReligiousAffiliation.NationalityCitizen_Nationality"""
aida-item:Contact.Discussion.Meet,aida-property:hasName,"en:""aida-item:Contact.Discussion.Meet"""
aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Subsidiary,aida-property:hasName,"en:""aida-property:PartWhole.Subsidiary.OrganizationSubsidiary_Subsidiary"""
aida-item:RES.TurnoutVoters.TurnoutVoters,aida-property:hasName,"en:""aida-item:RES.TurnoutVoters.TurnoutVoters"""
aida-property:Physical.LocatedNear_EntityOrFiller,aida-property:hasName,"en:""aida-property:Physical.LocatedNear_EntityOrFiller"""
aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization,aida-property:hasName,"en:""aida-property:GeneralAffiliation.OrganizationPoliticalReligiousAffiliation_Organization"""
aida-property:Evaluate.Deliberateness.Accidental_Holder,aida-property:hasName,"en:""aida-property:Evaluate.Deliberateness.Accidental_Holder"""
aida-item:PER.ProfessionalPosition.Scientist,aida-property:hasName,"en:""aida-item:PER.ProfessionalPosition.Scientist"""
aida-entity:110be185-7b8c-4a12-a0d7-fcfe7687a7f0,aida-property:hasName,"en:""bodyguard"""
aida-item:Physical.LocatedNear.Surround,aida-property:hasName,"en:""aida-item:Physical.LocatedNear.Surround"""
aida-property:OrganizationAffiliation.EmploymentMembership.Membership_Member,aida-property:hasName,"en:""aida-property:OrganizationAffiliation.EmploymentMembership.Membership_Member"""
aida-item:GPE.Country.Country,aida-property:hasName,"en:""aida-item:GPE.Country.Country"""
aida-item:Life.Die,aida-property:hasName,"en:""aida-item:Life.Die"""
aida-item:PersonalSocial.Role,aida-property:hasName,"en:""aida-item:PersonalSocial.Role"""
aida-item:ORG.MilitaryOrganization.GovernmentArmedForces,aida-property:hasName,"en:""aida-item:ORG.MilitaryOrganization.GovernmentArmedForces"""
